11098-MAD,Female,30,Yes,Madhya Pradesh,0,31,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,95.0999984741211,6683.39990234375,0,0,631.719970703125,7315.1201171875,Stayed,Others,Others
11114-PUN,Male,51,No,Punjab,5,9,Deal 5,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.1500015258789,169.050003051758,0,10,122.370002746582,301.420013427734,Churned,Competitor,Competitor had better devices
11167-WES,Female,43,Yes,West Bengal,3,28,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,116.050003051758,8297.5,42.5699996948242,110,1872.97998046875,10237.91015625,Stayed,Others,Others
11179-MAH,Male,35,No,Maharashtra,10,12,None,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,84.4000015258789,5969.2998046875,0,0,219.389999389648,6188.68994140625,Stayed,Others,Others
11180-TAM,Male,75,Yes,Tamil Nadu,12,27,Deal 2,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,72.5999984741211,4084.35009765625,0,140,332.079986572266,4556.43017578125,Stayed,Others,Others
11241-MAD,Female,41,Yes,Madhya Pradesh,4,11,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.099998474121,3634.80004882813,0,0,95.879997253418,3730.67993164063,Stayed,Others,Others
11244-JAM,Female,20,No,Jammu & Kashmir,3,9,None,Yes,Yes,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,76,1588.75,7.30000019073486,70,305.799987792969,1957.25,Stayed,Others,Others
11251-UTT,Female,51,No,Uttarakhand,1,19,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.2000007629395,245.149993896484,0,0,20.5699996948242,265.720001220703,Stayed,Others,Others
11262-HAR,Female,73,Yes,Haryana,5,32,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.0999984741211,95.0999984741211,0,0,4.8899998664856,99.9899978637695,Churned,Price,Price too high
11263-HAR,Female,41,No,Haryana,13,31,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,99.6500015258789,6311.2001953125,0,0,90.0899963378906,6401.2900390625,Stayed,Others,Others
11264-MAH,Female,27,Yes,Maharashtra,14,17,Deal 5,No,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-4,24.7999992370605,0,0,0,24.7999992370605,Churned,Dissatisfaction,Product dissatisfaction
11272-UTT,Female,65,No,Uttar Pradesh,0,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.8499984741211,256.600006103516,0,0,133.020004272461,389.619995117188,Churned,Competitor,Competitor offered more data
11277-UTT,Male,66,Yes,Uttar Pradesh,10,23,None,Yes,No,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,54.7999992370605,731.299987792969,0,0,136.630004882813,867.929992675781,Stayed,Others,Others
11288-MAD,Male,52,No,Madhya Pradesh,6,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.2000007629395,917.450012207031,0,0,2112.32006835938,3029.77001953125,Stayed,Others,Others
11290-JAM,Female,70,Yes,Jammu & Kashmir,0,36,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.4499969482422,396.100006103516,0,0,126.440002441406,522.539978027344,Churned,Competitor,Competitor made better offer
11301-WES,Female,31,No,West Bengal,7,5,Deal 3,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,51.5499992370605,1295.40002441406,0,0,641.419982910156,1936.81994628906,Stayed,Others,Others
11310-RAJ,Female,78,Yes,Rajasthan,0,15,Deal 2,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,102.150001525879,4735.35009765625,0,0,1535.40002441406,6270.75,Stayed,Others,Others
11340-JAM,Female,21,No,Jammu & Kashmir,8,7,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.9500007629395,219.5,0,0,78.5999984741211,298.100006103516,Stayed,Others,Others
11348-MAH,Female,46,No,Maharashtra,11,19,Deal 3,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,56.0499992370605,1522.65002441406,0,110,1235.07995605469,2867.72998046875,Stayed,Others,Others
11359-AND,Female,28,Yes,Andhra Pradesh,3,6,Deal 4,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,290.549987792969,0,0,435.839996337891,726.390014648438,Stayed,Others,Others
11370-TAM,Female,21,No,Tamil Nadu,15,10,Deal 4,Yes,No,Yes,Cable,No,No,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,59.0999984741211,772.849975585938,0,0,476.140014648438,1248.98999023438,Stayed,Others,Others
11392-JAM,Female,39,Yes,Jammu & Kashmir,11,1,Deal 2,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,84.4000015258789,4484.0498046875,0,0,1655.64001464844,6139.68994140625,Stayed,Others,Others
11392-KAR,Female,28,Yes,Karnataka,9,32,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,112.550003051758,7806.5,0,0,235.289993286133,8041.7900390625,Stayed,Others,Others
